acuracia,loss,frr,fpr, removed, n_clf, tp_removed
0.09825051553249518, 0.0, 0.8944041643372586, 0.40467750686587217, 0,0, 0
0.09958092197166234, 0.0, 0.8933638062721464, 0.5788335072305568, 4,7, 4
0.09991352358145414, 0.0, 0.9273376082964652, 0.5923988687467979, 7,7, 7
0.09991352358145414, 0.0, 0.9273376082964652, 0.588719126147697, 4,10, 4
0.09991352358145414, 0.0, 0.9273376082964652, 0.5894311459906091, 3,8, 3
0.09991352358145414, 0.0, 0.9273376082964652, 0.5910513660768978, 5,8, 5
0.09991352358145414, 0.0, 0.9273376082964652, 0.5889225509088805, 4,7, 4
0.09991352358145414, 0.0, 0.9273376082964652, 0.5897098302301758, 9,10, 9
0.09991352358145414, 0.0, 0.9273376082964652, 0.5888113417914772, 2,5, 2
0.09991352358145414, 0.0, 0.9273376082964652, 0.5900230364885388, 1,7, 1
0.09991352358145414, 0.0, 0.9273376082964652, 0.5886877547018082, 4,6, 4
0.09991352358145414, 0.0, 0.9273376082964652, 0.5892262387057893, 4,9, 4
0.09991352358145414, 0.0, 0.9273376082964652, 0.5891717132629644, 5,6, 5
0.09991352358145414, 0.0, 0.9273376082964652, 0.5890152407148644, 5,5, 5
0.09991352358145414, 0.0, 0.9273376082964652, 0.5922168082191681, 2,4, 2
0.09991352358145414, 0.0, 0.9273376082964652, 0.591146523506856, 5,10, 5
0.09991352358145414, 0.0, 0.9273376082964652, 0.5893749790963508, 6,9, 6
0.09991352358145414, 0.0, 0.9273376082964652, 0.5883043375474903, 6,9, 6
0.09991352358145414, 0.0, 0.9273376082964652, 0.5918392433545633, 7,9, 7
0.09904875939599547, 0.0, 0.8938837418790088, 0.5762530031766829, 4,5, 4
0.09904875939599547, 0.0, 0.8938837418790088, 0.5739046003000372, 1,6, 1
0.09904875939599547, 0.0, 0.8938837418790088, 0.5750257991395982, 9,11, 9
0.09904875939599547, 0.0, 0.8938837418790088, 0.5745079218236868, 4,6, 4
0.0996474422936207, 0.0, 0.9424463317291131, 0.5876580686613038, 2,3, 2
0.09991352358145414, 0.0, 0.9273376082964652, 0.5886248543222604, 2,5, 2
0.09991352358145414, 0.0, 0.9273376082964652, 0.5885466525283486, 7,9, 7
0.09904875939599547, 0.0, 0.8938837418790088, 0.574925632558391, 4,8, 4
0.09991352358145414, 0.0, 0.9273376082964652, 0.5922745612312523, 2,7, 2
0.09751879199095323, 0.0, 0.8947081975433878, 0.4999488674234202, 1,7, 1
0.09991352358145414, 0.0, 0.9273376082964652, 0.5929559913898514, 5,7, 5
0.09991352358145414, 0.0, 0.9273376082964652, 0.5891564826908592, 2,6, 2
