acuracia,loss,frr,fpr, removed, n_clf, tp_removed
0.09825051553249518, 2.3036959122288754, 0.8944041643372586, 0.40467750686587217, 0,0, 0
0.29268941661677644, 2.0775553078531845, 0.7877996390621039, 0.4385435784964825, 0,0, 0
0.372447282644848, 1.890929938384629, 0.7036568427010491, 0.35207394258813257, 0,0, 0
0.5669527040510876, 80672.25763606055, 0.5342654853491681, 0.39907745731106326, 1,4, 1
0.48300405773963945, 4.768669302653837, 0.6122417396149803, 0.44061462552147185, 0,5, 0
0.37051819330805563, 10.465004244755079, 0.7275173895399151, 0.5014717283542668, 2,5, 2
0.25317634537351164, 144.10800595319284, 0.7701775284137204, 0.5168369845464645, 3,10, 3
0.35209206412559035, 28.610437617970142, 0.724182409170212, 0.49501012754595086, 4,5, 4
0.3890108428124792, 9.431750000837583, 0.669093523997035, 0.47423448688146697, 3,7, 3
0.43816936073970597, 6.64612463288066, 0.676506083000628, 0.44537998384572086, 4,6, 4
0.467504822723342, 7.371210768008381, 0.638609998304123, 0.43687903710181364, 6,9, 6
0.48333665934943126, 4.77896696493366, 0.6367319295408231, 0.4319690933019522, 3,4, 3
0.4832701390274729, 6.320173432750503, 0.621522639291324, 0.43757116226372594, 1,7, 1
0.4482139293554181, 5.834795399932053, 0.6474491270654823, 0.4501379133489486, 6,8, 6
0.4889908867158917, 4.983322758481829, 0.6197506202679355, 0.4327333446090333, 6,8, 6
0.5097452271668995, 4.74143186912464, 0.6022660215369109, 0.419301076389246, 3,6, 3
0.5391472094724938, 3.94651102180285, 0.5797704341019262, 0.4143982961267387, 3,5, 3
0.5217854054413623, 4.69013457837191, 0.6040231528485128, 0.4120949027182536, 3,6, 3
0.5619636799042107, 4.187744194225653, 0.5634027630273263, 0.4092038528983105, 4,6, 4
0.6252910264085678, 3.483875560859864, 0.5559134296412873, 0.3883110501321951, 5,6, 5
0.638129448546531, 3.8114656547881562, 0.5333169501594324, 0.38717531823557794, 2,5, 2
0.5978846537617242, 4.099280319975027, 0.5331484045091835, 0.38771987546573283, 1,4, 1
0.6216324087008581, 3.701087127722878, 0.5566188515382752, 0.38406549595986833, 3,6, 3
0.6010776292157254, 4.3250376116617755, 0.5957995702754638, 0.40411710803180556, 4,6, 4
0.6307456928091532, 4.165555748159494, 0.5636835214101059, 0.39191108175117556, 2,4, 2
0.6580190248120801, 3.729541756804923, 0.5389153670347215, 0.3776928987526621, 6,6, 6
0.6695935608328344, 3.5414622129885487, 0.4983073660894769, 0.36655266983041684, 5,8, 5
0.6602807157586643, 3.467221079266535, 0.5403809602200973, 0.3829471466234037, 1,3, 1
0.640723741102907, 3.583275234375159, 0.5515418365277341, 0.39087288943849, 3,6, 3
0.6408567817468237, 3.5060005609527214, 0.539476101142671, 0.38657375467892197, 3,6, 3
0.6497039845672853, 3.6523319243138017, 0.5452658434901635, 0.38476522217537534, 5,8, 5
0.6497705048892437, 3.8896465018606143, 0.5403791669948541, 0.3831535712768575, 2,6, 2
0.671190048559835, 3.6770959985138183, 0.5085245409853019, 0.37346194248830195, 6,6, 6
0.6457792855717421, 3.8775659039814903, 0.5416474476816492, 0.3760921410819333, 4,9, 4
0.6820993813610058, 3.1580360923093145, 0.4884140872612309, 0.37134731548859967, 2,9, 2
0.6803698529900885, 3.412377213867268, 0.5126016434610068, 0.3770571406763834, 5,5, 5
0.673052617574669, 3.3373732127412246, 0.49347963733911393, 0.3757442355363016, 2,4, 2
0.6859575600345905, 3.1350149385997175, 0.4706006040611444, 0.36797603445203875, 6,8, 6
0.7073105833832236, 2.7335107342536804, 0.4680129752866604, 0.3552551767913799, 3,4, 3
0.7053814940464311, 2.536554051395892, 0.4667302759748928, 0.3540032614311272, 6,8, 6
0.7163573471695603, 2.5616123670710453, 0.4548065440343189, 0.34521383437899666, 2,5, 2
0.6997937870019291, 2.4554521776668063, 0.4725962283596709, 0.35700129153894233, 9,10, 9
0.6886848932348832, 3.238277278983456, 0.4804698253319009, 0.3492661702089754, 4,6, 4
0.672853056608794, 7.764329273942002, 0.49251801923783717, 0.3405411784991963, 1,4, 1
0.6727865362868356, 9.440733313971151, 0.4897336978503039, 0.3508620894097137, 2,6, 2
0.6924765515865097, 3.72603208064103, 0.4660634681422355, 0.3294274928253589, 3,5, 3
0.6619437238076232, 10.366588049524571, 0.5121615678532835, 0.3369085531151002, 4,7, 4
0.6282179205747356, 15.064223618680346, 0.5111893910515327, 0.3544518416072482, 1,4, 1
