acuracia,loss,frr,fpr, removed, n_clf, tp_removed
0.09825051553249518, 0.0, 0.8944041643372586, 0.40467750686587217, 0,0, 0
0.10111088937670458, 0.0, 0.9116167084157132, 0.5830746715218126, 8,11, 8
0.10430386483070578, 0.0, 0.8855507541962895, 0.5450195844373791, 1,3, 1
0.10111088937670458, 0.0, 0.9116167084157132, 0.5818514463319154, 4,9, 4
0.10111088937670458, 0.0, 0.9116167084157132, 0.5818113883531816, 4,9, 4
0.09904875939599547, 0.0, 0.8938837418790088, 0.5793852192545179, 8,8, 8
0.1012439300206213, 0.0, 0.9115341723320987, 0.5782249954834005, 5,5, 5
0.10111088937670458, 0.0, 0.9116167084157132, 0.5864177818156378, 10,10, 10
0.0996474422936207, 0.0, 0.8932783361866763, 0.5767449693706613, 6,6, 6
0.10111088937670458, 0.0, 0.9116167084157132, 0.5896474497057216, 6,6, 6
0.12951506685292358, 0.0, 0.853110049953528, 0.4268016378616434, 9,9, 9
0.10530166966008116, 0.0, 0.9082134887254734, 0.5545014576813869, 7,7, 7
0.09991352358145414, 0.0, 0.9273376082964652, 0.5919632770408069, 5,5, 5
0.12851726202354818, 0.0, 0.8841631170046373, 0.42518416375437806, 9,9, 9
0.10111088937670458, 0.0, 0.9116167084157132, 0.5812103673634733, 5,5, 5
0.11281846604137565, 0.0, 0.9146254274980617, 0.5098386857970257, 7,7, 7
0.14634470830838822, 0.0, 0.8540813034661603, 0.39642429652276284, 7,7, 7
0.1458790660546797, 0.0, 0.854938530703355, 0.39264826064784786, 7,7, 7
0.13802966806359343, 0.0, 0.8506755845617751, 0.423570971374192, 2,2, 2
0.10111088937670458, 0.0, 0.9116167084157132, 0.5821790327657055, 9,9, 9
0.16097917913922705, 0.0, 0.8342490368823476, 0.32536767198617655, 5,5, 5
0.1473425131377636, 0.0, 0.8444830028745679, 0.38533285118771365, 6,6, 6
0.15026940730393135, 0.0, 0.8442364787926376, 0.3812128291869459, 6,6, 6
0.1364997006585512, 0.0, 0.8570721517007434, 0.42985429504133377, 9,9, 9
0.18186656023415154, 0.0, 0.8146848507598871, 0.3111903707676966, 8,8, 8
0.16650036586177078, 0.0, 0.8256820938939543, 0.36485037778779916, 8,8, 8
0.15379498436772435, 0.0, 0.8341068312921514, 0.3727192721612833, 8,8, 8
0.14767511474755537, 0.0, 0.8498867076398221, 0.4227276022685724, 11,11, 11
0.17275327612585645, 0.0, 0.813418542194892, 0.3390442751615849, 11,11, 11
0.1523980576065988, 0.0, 0.8467717241928706, 0.36545679862610103, 8,8, 8
0.1543271469433912, 0.0, 0.8471091258319167, 0.39277888920768284, 5,5, 5
0.17501496707244063, 0.0, 0.8078845981408714, 0.32233975232169976, 6,6, 6
0.20435042905607664, 0.0, 0.7820628188874466, 0.283620016542954, 5,5, 5
0.19091332402048825, 0.0, 0.8121433631059464, 0.28941708250422543, 4,4, 4
0.19503758398190646, 0.0, 0.7928136544251998, 0.3125938390228785, 6,6, 6
0.2029535022949511, 0.0, 0.7817665723823377, 0.34026118169942193, 9,9, 9
0.2147941196035389, 0.0, 0.7690528183142259, 0.2897325386432929, 6,6, 6
0.21007117674449544, 0.0, 0.7834970011024116, 0.29848634639635757, 7,7, 7
0.19078028337657155, 0.0, 0.7974179959150173, 0.3325229563733778, 5,5, 5
0.18352956828311048, 0.0, 0.8186897740741966, 0.3513836788566003, 7,7, 7
0.15658883788997538, 0.0, 0.8738009791816792, 0.4335195382157594, 8,8, 8
0.1808022350828178, 0.0, 0.8480006512299347, 0.3845933713372077, 6,6, 6
0.19936140490919976, 0.0, 0.8306810740523598, 0.3652208019801828, 6,6, 6
0.23754406971329742, 0.0, 0.7661287478018726, 0.26236653583943026, 11,11, 11
0.19344109625490588, 0.0, 0.8064230580138972, 0.3084090358627158, 5,5, 5
0.19410629947448946, 0.0, 0.8002743924992406, 0.3325150752712782, 3,3, 3
0.19044768176677976, 0.0, 0.8296175865456509, 0.3218438767383756, 7,7, 7
0.17381760127719018, 0.0, 0.8181334149633824, 0.3888129050142613, 6,6, 6
0.20634603871482737, 0.0, 0.7887651299254571, 0.30153820913529206, 7,7, 7
0.23907403711833966, 0.0, 0.758828097563595, 0.26206360747205276, 7,7, 7
0.2335528503957959, 0.0, 0.7607223676198026, 0.29263166164775056, 6,6, 6
0.20268742100711767, 0.0, 0.805217658880089, 0.31528359251978505, 6,6, 6
0.24319829707975787, 0.0, 0.7745225598655452, 0.29780673751399334, 8,8, 8
0.2279651433512938, 0.0, 0.7874852427284149, 0.3021931038352894, 10,10, 10
0.2273664604536686, 0.0, 0.7626169612752791, 0.3100075756062451, 6,6, 6
0.2697399055411428, 0.0, 0.7202491715507909, 0.26679434168450644, 8,8, 8
0.21386283509612186, 0.0, 0.7699023211944959, 0.33006567202536097, 9,9, 9
0.2217787534091665, 0.0, 0.7698950890306259, 0.293920730087432, 10,10, 10
0.24193441096254906, 0.0, 0.7454491909411854, 0.27072159654869915, 8,8, 8
0.24047096387946518, 0.0, 0.7453466705328822, 0.2876525460558269, 9,9, 9
0.2622896294818067, 0.0, 0.7559325891987447, 0.2684672764357965, 7,7, 7
0.22517128982904278, 0.0, 0.7627978402072769, 0.3368033257167632, 7,7, 7
0.261225304330473, 0.0, 0.7273810304745797, 0.28580313067181384, 6,6, 6
0.2475886383290095, 0.0, 0.744114927575066, 0.2990461597533831, 8,8, 8
0.2711368323022683, 0.0, 0.7259740428707387, 0.2609017814739192, 8,8, 8
0.2579658085545134, 0.0, 0.7289517572624667, 0.2597795001698266, 7,7, 7
0.28577130313310717, 0.0, 0.7230617452510499, 0.2500773135507165, 7,7, 7
0.22404044435575068, 0.0, 0.7740821541883727, 0.31061151371436446, 9,9, 9
0.22769906206346038, 0.0, 0.7582551677923125, 0.3039703329303775, 9,9, 9
0.234683695869088, 0.0, 0.74977055019178, 0.28916625231075693, 3,3, 3
0.2839752544402315, 0.0, 0.7299019909586171, 0.25804169866450444, 6,6, 6
0.22457260693141753, 0.0, 0.7636701135505253, 0.3347237678491375, 9,9, 9
0.26874210071176746, 0.0, 0.731634995188044, 0.2529852726918234, 3,3, 3
0.29841016430519524, 0.0, 0.6974585709393779, 0.25988386630185994, 7,7, 7
0.27552717355152, 0.0, 0.7190118251241454, 0.2642639668260095, 10,10, 10
0.24326481740171624, 0.0, 0.7715455390877094, 0.3017076852425351, 6,6, 6
0.2775893035322291, 0.0, 0.7115021915088658, 0.2682619609002837, 3,3, 3
0.2481208009046764, 0.0, 0.7504594076820577, 0.3233370122232126, 7,7, 7
0.2253043304729595, 0.0, 0.7730569584661933, 0.33124132265549977, 7,7, 7
0.224838688219251, 0.0, 0.7754415492719204, 0.3052015169329547, 6,6, 6
0.27752278321027074, 0.0, 0.713026784445839, 0.26833857276843687, 8,8, 8
0.26874210071176746, 0.0, 0.7169394091250133, 0.270254395918064, 6,6, 6
0.2584314508082219, 0.0, 0.7216234480959609, 0.2791891683174532, 9,9, 9
0.2780549457859376, 0.0, 0.7166652886739668, 0.25897276249020784, 10,10, 10
0.26042706046697267, 0.0, 0.7543951820021461, 0.2889417269380584, 11,11, 11
0.30040577396394597, 0.0, 0.6973394729158922, 0.2503753173205963, 10,10, 10
0.31198030998470033, 0.0, 0.6703860553649135, 0.25135001680317165, 6,6, 6
0.24492782545067518, 0.0, 0.7679286555387383, 0.3162483475007886, 6,6, 6
0.32568349630812216, 0.0, 0.6604270058316085, 0.2404954411853451, 6,6, 6
0.2878999534357746, 0.0, 0.7099513935515399, 0.2686126212251879, 7,7, 7
0.2946185059535688, 0.0, 0.6905000703028464, 0.2833557211565725, 11,11, 11
0.23395197232754605, 0.0, 0.7557621055354528, 0.3001927883688142, 5,5, 5
0.3161045699461185, 0.0, 0.6746565319034883, 0.24547044371711185, 7,7, 7
0.32129315505887046, 0.0, 0.6666373098592656, 0.23670709150105995, 9,9, 9
0.32674782145945586, 0.0, 0.6606451289699501, 0.23799405201815688, 9,9, 9
0.2806492383423136, 0.0, 0.7101792755590473, 0.2766755989090674, 8,8, 8
0.2664138894432249, 0.0, 0.7214281368482206, 0.2989626467688265, 6,6, 6
0.31497372447282646, 0.0, 0.6828206281317583, 0.2528859350892338, 4,4, 4
0.32834430918645646, 0.0, 0.6562061729152967, 0.2357661002392904, 8,8, 8
0.2625557107696401, 0.0, 0.7157287112345645, 0.29613721912072294, 10,10, 10
0.28178008381560565, 0.0, 0.7073910338694529, 0.2804586118725453, 5,5, 5
0.09978048293753741, 0.0, 0.8898823293387983, 0.48457816426521805, 0,0, 0
0.10111088937670458, 0.0, 0.9116167084157132, 0.5759667133691455, 4,8, 4
0.10111088937670458, 0.0, 0.9116167084157132, 0.5780501987325009, 3,6, 3
