acuracia,loss,frr,fpr, removed, n_clf, tp_removed
0.09825051553249518, 2.3036959122288754, 0.8944041643372586, 0.40467750686587217, 0,0, 0
0.2732654826049358, 2.076189176170981, 0.7472757940070066, 0.4917706159518436, 0,0, 0
0.3195636266879532, 1.910589000747041, 0.6919942368098668, 0.4540643354571404, 8,8, 8
0.4308521253242866, 1.7701010140261095, 0.6262861459817841, 0.334741194774541, 3,3, 3
0.4988358943657287, 1.6049155549124614, 0.6025578871914833, 0.3252426633466586, 9,9, 9
0.5292356815006984, 1.380982272828803, 0.5931373508754997, 0.33853704188891115, 7,7, 7
0.5648240537484202, 1.2895495044813248, 0.5710867935560294, 0.35373412196986387, 4,4, 4
0.6488392203818266, 1.1441568616869782, 0.4966041222143449, 0.26452371369553973, 12,12, 12
0.6666666666666666, 1.090140143040835, 0.48212357426810926, 0.2743177833167959, 6,6, 6
0.6884853322690082, 1.0051834661501982, 0.47106587342694495, 0.27915623021333985, 5,5, 5
0.7277988425463979, 0.9425304954517434, 0.44018876012841324, 0.2477888291648557, 6,6, 6
0.7430319962748619, 0.8835168153252374, 0.38991520750045644, 0.23770149559649634, 5,5, 5
0.754007849397991, 0.8704157067770981, 0.38094404877804827, 0.22518599053527116, 7,7, 7
0.7356482405374842, 0.8366015837885119, 0.43409314061313004, 0.23969002973496664, 6,6, 6
0.7669793121798709, 0.8023512813999466, 0.35991621225548415, 0.2290479423665613, 3,3, 3
0.7635202554380364, 0.8010461709276808, 0.358432001206287, 0.21800887472793115, 6,6, 6
0.7490188252511142, 0.7770059185589926, 0.3837127526223439, 0.2344813576451767, 7,7, 7
0.7509479145879066, 0.7671495202296887, 0.38801129679717894, 0.23355548154647351, 7,7, 7
0.7827446284840018, 0.7192258003135067, 0.3458688111276921, 0.21351764699315845, 7,7, 7
0.7683097186190381, 0.7165243265598511, 0.36579547402670637, 0.22716399299774012, 5,5, 5
0.7884653761724206, 0.6909673814928368, 0.349572505057392, 0.21874856346670554, 7,7, 7
0.8040976518326348, 0.6642737507695513, 0.3387152467861387, 0.2216621739808707, 11,11, 11
0.8111488059602209, 0.6377099855289226, 0.29936987265799325, 0.20730983930344965, 9,9, 9
0.8178673584780151, 0.632196074042784, 0.2907286962571037, 0.2085812707138112, 9,9, 9
0.8183995210536819, 0.6147627265783961, 0.29443594052991673, 0.20091801541578053, 6,6, 6
0.8286436506352691, 0.5914513073383774, 0.2820430580140043, 0.2012039029658916, 8,8, 8
0.8261823987228099, 0.5841068585454157, 0.2736106138314797, 0.19185375082277895, 7,7, 7
0.8276458458058937, 0.5836876276538044, 0.26767311914479064, 0.19090973659368524, 7,7, 7
0.8309718619038116, 0.5661722097688454, 0.2758682454365835, 0.2007869626819313, 10,10, 10
0.8286436506352691, 0.5664453198225208, 0.2752235650820383, 0.19789741398603242, 6,6, 6
